"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Zampieron, Nick","2026",188,163,151,0.398,0.382
"Bruggeman, Kevin","2023",371,339,321,0.397,0.407
"Eickhoff, Logan","2022",61,54,52,0.397,0.373
"Kuroda-Grauer, Joshua","2022",763,712,648,0.397,0.433
"Milano, Gabriel","2026",165,149,137,0.397,0.403
"Roche, Kyle","2022",6,4,4,0.397,0.25
"Smith, Derek","2021",208,200,174,0.397,0.466
"Crerar, Bennett","2026",30,27,17,0.396,0.576
"Mongelli, Sam","2022",482,438,412,0.396,0.396
"Moore, Zev","2024",123,111,95,0.396,0.441
"Scanlon, Christian","2024",471,407,315,0.396,0.471
"Tozzi, Domenico","2026",66,51,29,0.396,0.569
"Espiritu-Niswonger, Jack","2026",3,3,2,0.395,0.593
"Leonard, Dayne","2021",306,272,228,0.395,0.427
"Monistere, Nick","2023",253,229,203,0.395,0.424
"Fellows, Cole","2024",627,572,504,0.394,0.439
"Harring, Jake","2026",259,216,190,0.394,0.395
"Hueth, Brendan","2021",60,54,52,0.394,0.375
"Bolton, Matthew","2025",622,542,488,0.393,0.411
"Cox, Tyler","2024",340,284,250,0.393,0.407
"Myers, Adarius","2023",671,649,623,0.393,0.403
"Paradine, Shane","2021",193,191,187,0.393,0.398
"Ross, Jackson","2022",586,542,464,0.393,0.437
"Heaton, Brodey","2023",480,441,401,0.392,0.409
"Jimenez, Ramon","2021",64,54,44,0.392,0.476
"Roche, Patrick","2022",502,469,433,0.392,0.415
"Taylor, Devin","2023",613,554,520,0.392,0.423
"Willis, CJ","2023",360,341,307,0.392,0.417
"Blasick, Nate","2022",458,408,310,0.391,0.466
"Hudson, Brennan","2025",461,389,307,0.391,0.425
"Langley, Kyle","2026",84,66,54,0.391,0.378
"Wyers, Drew","2024",247,221,177,0.391,0.46
"Daniels, Ryan","2023",171,151,137,0.39,0.386
"DiPrima, Chris","2026",245,197,174,0.39,0.382
