"Batter","Season","PA","AB","BBE","xwOBA","xwOBACON"
"Pfannenbecker, Logan","2022",32,30,28,0.186,0.163
"Reader, Troy","2026",30,24,15,0.185,0.277
"Cottam, Keaton","2024",62,58,44,0.184,0.197
"Kolben, Ryan","2026",71,66,43,0.184,0.223
"Bergamotto, Nick","2025",22,18,16,0.183,0.079
"Brown, Ethan","2025",32,30,28,0.183,0.159
"Stalman, Lucas","2021",45,37,27,0.183,0.202
"Acker, Ty","2023",31,16,12,0.181,0.123
"Green, Glenn","2025",8,6,4,0.181,0.016
"Johnson, Luke","2026",29,29,23,0.181,0.228
"Moore, Tucker","2024",65,57,47,0.181,0.133
"Zaffino, Matt","2021",31,27,19,0.181,0.151
"Calhoun, Andrew","2022",177,161,121,0.18,0.195
"Guzman, Carlos","2021",43,38,30,0.18,0.144
"Kapuscinski, Justin","2021",38,32,28,0.18,0.097
"Quintano, Collin","2023",47,41,31,0.18,0.139
"Berg, Jake","2022",101,82,80,0.179,0.139
"Johnson, Cole","2021",12,10,4,0.179,0.191
"Paulsen, Brett","2022",92,80,60,0.179,0.183
"Sahler, Cian","2023",231,225,213,0.179,0.175
"Stockton, Rylen","2026",31,27,13,0.179,0.268
"Wolfe, Matt","2026",127,114,76,0.179,0.191
"Allen, Lane","2026",34,28,18,0.178,0.106
"Davalan, Charles","2024",10,8,8,0.178,0.05
"Buecker, Brandon","2025",127,111,95,0.176,0.184
"Francuzenko, Nicholas","2025",60,56,54,0.176,0.145
"LaPread, Ali","2023",107,93,79,0.175,0.184
"McDermott, Kyle","2025",4,4,4,0.175,0.175
"Bertsch, Connor","2023",41,35,25,0.173,0.118
"Miele, Luke","2026",26,25,18,0.173,0.211
"Choi, Albert","2021",38,32,28,0.172,0.184
"Cooper, Tyson","2021",202,186,168,0.172,0.141
"Retzbach, Adam","2021",70,70,62,0.171,0.193
"Applegate, Carson","2024",10,8,4,0.17,0.079
"Luccini, Alex","2024",198,166,122,0.17,0.118
"Rubin, Joey","2023",98,79,65,0.17,0.193
"Niehaus, Charlie","2026",45,40,30,0.169,0.185
"Burtnik, Samuel","2023",15,13,9,0.168,0.127
"Plasschaert, Zach","2026",63,55,19,0.168,0.265
"Watson, Ben","2023",135,129,109,0.167,0.169
"Haskin, Parker","2022",93,87,79,0.166,0.144
"Rogers, Brett","2026",111,104,85,0.166,0.16
"Szestowicki, Justin","2022",220,199,165,0.165,0.186
"Whitehill, Simmi","2023",192,178,100,0.165,0.219
"Lifrieri, Dillon","2021",30,28,24,0.164,0.147
"Littlefield, Dylan","2026",18,16,4,0.164,0.392
"Voss, Nathen","2024",15,12,8,0.164,0.048
"Bazydlo, Joey","2026",12,11,7,0.163,0.181
"Meluskey, Tommy","2024",70,60,52,0.163,0.087
"Shockley, Jason","2024",120,99,79,0.163,0.143
"Troche, Darius","2023",82,71,55,0.163,0.218
"Corona, Jorge","2021",51,47,37,0.162,0.149
"Ford, Jarrett","2022",68,60,56,0.162,0.147
"maycock, Ben","2021",18,16,16,0.162,0.095
"Boyle, Westin","2026",124,105,80,0.161,0.163
"Maloney, Matt","2022",66,60,50,0.161,0.185
"Sefcik, Luke","2024",113,90,72,0.16,0.156
"Worcester, Chris","2024",113,103,91,0.16,0.153
"Brinker, Matthew","2024",4,4,4,0.159,0.159
"Denlinger, Austin","2023",221,211,185,0.159,0.153
"Kluska, Michael","2021",24,22,12,0.159,0.203
"Marchese, Gavin","2026",85,79,63,0.159,0.149
"Talavera, Michael","2023",154,129,105,0.159,0.154
"Brown, Griffin","2025",24,18,12,0.158,0.2
"Clayton, Cameron","2022",149,145,133,0.158,0.156
"Gervasi, Mike","2022",186,186,142,0.158,0.208
"Madliak, Bear","2023",113,104,94,0.158,0.124
"Uejima, Julian","2023",10,8,8,0.157,0.024
"Johnson, Dayvin","2022",70,64,46,0.156,0.147
"Rivera, Noah","2022",51,41,35,0.156,0.108
"Dilley, Jacob","2026",58,47,32,0.155,0.131
"Gladu, Jake","2026",30,27,11,0.154,0.231
"Klug, Christian","2026",99,92,78,0.154,0.133
"Basseer, Jack","2024",236,226,204,0.153,0.143
"Chatelle, Matthew","2025",21,17,17,0.153,0.027
"Lussier, Matt","2025",226,212,176,0.153,0.141
"Ciulla-Hall, Trey","2023",26,22,22,0.152,0.054
"Dardar, Seth","2025",71,67,61,0.151,0.131
"Seidel, Samuel","2025",233,213,199,0.15,0.134
"Andrews, Jack","2026",7,6,6,0.149,0.173
"Hussey, Dan","2023",18,18,16,0.148,0.167
"Kelly, Jonathan","2021",26,22,18,0.147,0.059
"Jagiela, Carter","2024",64,58,44,0.145,0.117
"Ford, Jarret","2022",18,16,8,0.144,0.151
"McCommons, McDonald","2025",38,32,20,0.144,0.067
"Bramwell, Spencer","2021",37,37,31,0.142,0.169
"Johnson, RJ","2025",72,57,47,0.142,0.057
"Gries-Smith, Eli","2025",115,111,89,0.141,0.151
"Morr, James","2025",4,4,4,0.14,0.14
"Cavossa, Sam","2024",23,23,21,0.139,0.152
"Damore, Dante","2022",10,8,4,0.138,0.001
"Christofori, Cal","2021",36,32,20,0.137,0.108
"Parrillo, Cal","2024",166,149,125,0.137,0.088
"Jarvis, Ed","2022",103,97,77,0.134,0.126
"Novak, Kyle","2021",77,68,62,0.134,0.167
"Brucato, Johnny","2025",23,21,13,0.133,0.129
"Slinsky, Skye","2024",14,12,12,0.133,0.04
"Maycock, Ben","2021",12,10,4,0.132,0.052
"DiLaurento, Corey","2021",4,4,4,0.129,0.129
"Rappoli, Reece","2022",59,57,41,0.129,0.151
"Grotyohann, Connor","2024",54,52,40,0.128,0.139
"Finn, Sean","2026",12,12,3,0.126,0.504
"Acker, Jake","2024",14,12,8,0.123,0.043
"Cameron, Josh","2022",44,35,25,0.123,0.217
"Grenkoski, Brad","2021",17,15,7,0.123,0.102
"Padilla, Bryan","2021",37,37,31,0.123,0.147
"Barry, Braden","2021",45,43,33,0.122,0.125
"Casas, Gavin","2021",12,10,6,0.122,0.013
"Harris, Aiden","2025",45,43,29,0.122,0.141
"Jans, Chase","2022",17,15,13,0.121,0.052
"Zyons, Zac","2025",71,58,46,0.121,0.052
"Bello, Jason","2026",158,143,124,0.118,0.09
"Marot, Alex",NA,9,9,9,0.117,0.117
"Hamilton, Christian","2026",26,18,7,0.116,0.036
"Wilks, Slade","2021",28,24,20,0.115,0.022
"Groff, Ethan","2021",59,53,43,0.113,0.059
"Popovich, Alek","2025",41,41,35,0.113,0.132
"Durkan, Cole","2021",19,17,17,0.112,0.044
"David, Christofore","2022",14,14,12,0.111,0.13
"O'Donnell, Brendan","2021",13,13,13,0.108,0.108
"Darwin, Nate","2022",17,15,13,0.107,0.034
"Wegner, Jared","2022",45,43,35,0.107,0.098
"Dana, Casey","2021",22,20,18,0.106,0.053
"Chae, Yoon","2024",15,13,9,0.105,0.021
"Bubba, Anthony","2026",2,2,2,0.104,0.104
"Kelley, Liam","2026",10,10,8,0.104,0.13
"Livingston, Rueben","2026",3,3,2,0.104,0.156
"Donahue, Scott","2026",39,35,29,0.102,0.041
"Giangreco, Kristofer","2025",18,16,16,0.1,0.026
"Hoy, Dylan","2021",15,13,11,0.1,0.011
"Pitarra, Kevin","2021",28,22,20,0.1,0.071
"Hanawalt, Chase","2025",4,4,4,0.094,0.094
"Harding, Connor","2021",19,17,17,0.094,0.024
"Vasquez, Jose","2026",4,4,4,0.094,0.094
"Espiritu Niswonger, Jack","2026",2,1,1,0.093,0.185
"Diaz, Zaid","2026",39,34,22,0.092,0.037
"Walsh, Patrick","2026",10,10,4,0.092,0.231
"Norgren, Cameron","2021",49,44,38,0.091,0.027
"Buecker, Brendan","2025",62,62,58,0.09,0.096
"Frye, Bradley","2022",50,50,46,0.088,0.095
"Guachione, Nick","2026",2,2,2,0.086,0.086
"Tejeda III, Richard","2026",8,8,4,0.086,0.171
"Higgins, Martin","2023",41,37,29,0.085,0.121
"Donahue, Zach","2024",31,29,25,0.083,0.048
"Toth, Raymond","2024",18,16,8,0.08,0.008
"Reyes, Randy","2023",19,19,17,0.079,0.088
"Larsen, Craig","2021",37,37,35,0.078,0.082
"Pagliarini, Charlie","2021",19,17,13,0.078,0.008
"Miller, Hayden","2025",39,35,17,0.077,0.013
"Jefferis, Jagger","2023",4,4,4,0.076,0.076
"Eppinger, Andrew","2023",27,25,21,0.074,0.029
"Haller, Camaron","2026",42,41,35,0.073,0.068
"Klein, Matt","2024",8,8,6,0.073,0.097
"Camera, Dom","2023",35,33,29,0.072,0.039
"Policelli, Christian","2021",28,26,24,0.071,0.026
"O'Connor, Tommy","2023",20,18,4,0.07,0.006
"Athanasiadis, George","2023",35,33,21,0.069,0.05
"Duroff, Brian","2024",12,12,8,0.069,0.104
"Perez, Emmanuel","2024",23,21,11,0.069,0.019
"Shaheen, William","2026",18,18,16,0.067,0.076
"Hernandez, Ryan","2021",12,12,8,0.066,0.1
"Echavarria, Ernie","2026",2,2,1,0.062,0.125
"Holbrook, Cooper","2024",35,33,17,0.062,0.047
"Finn, Rory","2025",31,29,21,0.055,0.015
"Steele, Anthony","2024",21,21,17,0.055,0.068
"Hornone, Jackson","2023",17,17,13,0.052,0.068
"Debiec, Max","2025",22,22,16,0.045,0.062
"Metzdorf, Drew","2021",17,17,13,0.044,0.057
"Hacopian, Chris","2024",10,10,8,0.043,0.054
"Cook, Jacob","2023",15,15,13,0.04,0.046
"DAmato, Hunter","2023",10,10,8,0.04,0.051
"Luttazi, Steve","2021",8,8,8,0.04,0.04
"Smith, Will","2021",18,18,18,0.04,0.04
"Holub, Andrew","2025",45,45,37,0.038,0.046
"Arnone, Griffen","2023",14,14,12,0.037,0.043
"Groller, Aaron","2021",12,12,12,0.037,0.037
"Mcgovern, Garrett","2026",2,2,1,0.035,0.07
"Rios, Joey","2023",13,13,13,0.034,0.034
"Extra 1","2024",16,16,16,0.033,0.033
"Sergi, Anthony","2026",4,4,1,0.032,0.127
"Siqueira, Dustin","2022",4,4,4,0.032,0.032
"DuRoff, Brian","2024",4,4,4,0.031,0.031
"Malzone, AJ","2024",6,6,4,0.031,0.047
"Ramirez, Alex","2021",6,6,4,0.031,0.046
"Correa Jr., Efrain","2023",26,26,20,0.03,0.038
"Sweeney, Jordan","2022",28,24,20,0.029,0.041
"Sullivan, Bill","2022",22,22,18,0.028,0.034
"Hassan, Nick","2021",16,13,13,0.027,0.033
"Anderson, Micheal","2023",4,4,4,0.026,0.026
"F, Player","2024",8,8,6,0.026,0.034
"Bianchina, Vicent","2022",9,9,9,0.025,0.025
"Leonard, Trey","2021",36,36,36,0.025,0.025
"Podeszwa, Connor","2023",12,12,8,0.025,0.038
"Leonard, Samuel","2026",5,5,3,0.024,0.041
"Paino, Owen","2025",15,15,13,0.023,0.026
"Abrams, Kohl","2021",20,20,10,0.022,0.043
"Gay, Alex","2025",4,4,4,0.022,0.022
"Eskert, Chase","2026",3,3,2,0.021,0.032
"Kovalchik, Zack","2024",32,32,24,0.021,0.029
"Rodriguez, Nick","2024",17,17,17,0.02,0.02
"Stevens, Zach","2021",10,10,8,0.02,0.024
"Jons, Chase","2022",15,15,9,0.019,0.031
"Wentworth, Jack","2024",26,26,8,0.019,0.063
"Peterson, Jonathan","2024",4,4,4,0.018,0.018
"Baillargeon, Christopher","2022",11,11,7,0.017,0.027
"Tejada, Cristian","2021",19,19,17,0.016,0.018
"Cody, Dalton","2022",8,8,4,0.014,0.028
"Podolec, Owen","2023",16,12,8,0.014,0.028
"Moutzouridis, P.J.","2024",14,14,14,0.013,0.013
"Staffier, Noah","2026",2,2,1,0.013,0.026
"Arnoe, Griffin","2023",10,10,4,0.012,0.03
"Baillargeon, Chris","2022",14,10,4,0.012,0.042
"Leitzel, Robert","2021",10,10,8,0.012,0.015
"Seymour, Cam","2021",8,8,4,0.012,0.024
"Borrelli, Michael","2023",15,15,9,0.011,0.019
"D'Alessandro, Max","2025",15,15,9,0.011,0.018
"Llopiz, Deandre","2023",4,4,4,0.011,0.011
"Butler, Billy","2021",17,17,13,0.01,0.013
"Arruda, Tylor","2022",4,4,4,0.009,0.009
"Cerruto, Casey","2025",12,12,4,0.009,0.028
"Brencewski, Joey","2024",6,6,4,0.008,0.013
"Cook, William","2023",12,12,8,0.008,0.012
"Murillo, Sebastian","2021",22,22,8,0.008,0.021
"Tanous, Sam","2023",15,15,13,0.008,0.009
"Gibbs, Colin","2026",12,12,8,0.006,0.009
"McMahon, Noah","2025",4,4,4,0.006,0.006
"McGinnis , Colemen","2025",6,6,4,0.004,0.006
"Orr, Jacob","2024",24,24,22,0.004,0.004
"Grieve, Bode","2025",23,23,13,0.003,0.006
"Barone, Nick","2025",12,12,4,0.002,0.007
"Cohen, Daniel","2025",12,8,4,0.002,0.006
"Sparber, Chris","2024",6,6,4,0.002,0.003
"Cheeseman, Jeremy","2025",14,14,4,0.001,0.004
"Portnoy, Sam","2023",9,9,9,0,0
